,countyFIPS,stateFIPS,date,Confirmed_cases
1,1001,1,01-02-2021,500.86
2,1003,1,01-02-2021,2016.47
3,1005,1,01-02-2021,191.88
4,1007,1,01-02-2021,117.84
5,1009,1,01-02-2021,462.46
6,1011,1,01-02-2021,14.42
7,1013,1,01-02-2021,391.45
8,1015,1,01-02-2021,1220.65
9,1017,1,01-02-2021,251.37
10,1019,1,01-02-2021,135.75
11,1021,1,01-02-2021,251.57
12,1023,1,01-02-2021,35.9
13,1025,1,01-02-2021,375.13
14,1027,1,01-02-2021,36.12
15,1029,1,01-02-2021,27.59
16,1031,1,01-02-2021,535.67
17,1033,1,01-02-2021,830.04
18,1035,1,01-02-2021,19.59
19,1037,1,01-02-2021,14.52
20,1039,1,01-02-2021,252.59
21,1041,1,01-02-2021,45.3
22,1043,1,01-02-2021,721.84
23,1045,1,01-02-2021,393.48
24,1047,1,01-02-2021,268.87
25,1049,1,01-02-2021,893.72
26,1051,1,01-02-2021,984.14
27,1053,1,01-02-2021,266.25
28,1055,1,01-02-2021,925.18
29,1057,1,01-02-2021,62.05
30,1059,1,01-02-2021,240.83
31,1061,1,01-02-2021,123.19
32,1063,1,01-02-2021,7.2
33,1065,1,01-02-2021,41.38
34,1067,1,01-02-2021,73.7
35,1069,1,01-02-2021,998.15
36,1071,1,01-02-2021,826.25
37,1073,1,01-02-2021,12085.44
38,1075,1,01-02-2021,32.19
39,1077,1,01-02-2021,746.56
40,1079,1,01-02-2021,202.6
41,1081,1,01-02-2021,1579.31
42,1083,1,01-02-2021,875.67
43,1085,1,01-02-2021,8.89
44,1087,1,01-02-2021,426.98
45,1089,1,01-02-2021,7510.78
46,1091,1,01-02-2021,369.2
47,1093,1,01-02-2021,269.17
48,1095,1,01-02-2021,1381.19
49,1097,1,01-02-2021,4166.05
50,1099,1,01-02-2021,371.81
51,1101,1,01-02-2021,3210.05
52,1103,1,01-02-2021,1231.28
53,1105,1,01-02-2021,9.69
54,1107,1,01-02-2021,319.52
55,1109,1,01-02-2021,250.36
56,1111,1,01-02-2021,148.17
57,1113,1,01-02-2021,842.34
58,1115,1,01-02-2021,781.04
59,1117,1,01-02-2021,1947.87
60,1119,1,01-02-2021,34.49
61,1121,1,01-02-2021,1087.84
62,1123,1,01-02-2021,312.79
63,1125,1,01-02-2021,2863.36
64,1127,1,01-02-2021,852.8
65,1129,1,01-02-2021,73.95
66,1131,1,01-02-2021,13.9
67,1133,1,01-02-2021,153.79
68,2013,2,01-02-2021,2.11
69,2016,2,01-02-2021,2.72
70,2020,2,01-02-2021,544.43
71,2050,2,01-02-2021,24.49
72,2060,2,01-02-2021,2.09
73,2068,2,01-02-2021,2.72
74,2070,2,01-02-2021,2.14
75,2090,2,01-02-2021,80.36
76,2100,2,01-02-2021,2.07
77,2105,2,01-02-2021,17.7
78,2110,2,01-02-2021,78
79,2122,2,01-02-2021,58.43
80,2130,2,01-02-2021,2.76
81,2150,2,01-02-2021,8.1
82,2158,2,01-02-2021,19.39
83,2164,2,01-02-2021,1.78
84,2170,2,01-02-2021,89.27
85,2180,2,01-02-2021,2.15
86,2185,2,01-02-2021,2.07
87,2188,2,01-02-2021,2.55
88,2195,2,01-02-2021,60.81
89,2198,2,01-02-2021,18.08
90,2220,2,01-02-2021,2.67
91,2230,2,01-02-2021,66.1
92,2240,2,01-02-2021,2.07
93,2261,2,01-02-2021,4.33
94,2275,2,01-02-2021,28.9
95,2282,2,01-02-2021,2.14
96,2290,2,01-02-2021,2.76
97,4001,4,01-02-2021,886.87
98,4003,4,01-02-2021,1001.91
99,4005,4,01-02-2021,1459.36
100,4007,4,01-02-2021,820.29
101,4009,4,01-02-2021,293.78
102,4011,4,01-02-2021,2.74
103,4012,4,01-02-2021,130.23
104,4013,4,01-02-2021,122051.56
105,4015,4,01-02-2021,1459.74
106,4017,4,01-02-2021,2346.19
107,4019,4,01-02-2021,11058.55
108,4021,4,01-02-2021,4938.98
109,4023,4,01-02-2021,350.89
110,4025,4,01-02-2021,1938.45
111,4027,4,01-02-2021,1577.85
112,5001,5,01-02-2021,163.81
113,5003,5,01-02-2021,57.56
114,5005,5,01-02-2021,79.39
115,5007,5,01-02-2021,1187.97
116,5009,5,01-02-2021,201.24
117,5011,5,01-02-2021,5.52
118,5013,5,01-02-2021,1.77
119,5015,5,01-02-2021,93.01
120,5017,5,01-02-2021,54.71
121,5019,5,01-02-2021,59.51
122,5021,5,01-02-2021,14.92
123,5023,5,01-02-2021,84.26
124,5025,5,01-02-2021,13.85
125,5027,5,01-02-2021,61.75
126,5029,5,01-02-2021,45.23
127,5031,5,01-02-2021,850.29
128,5033,5,01-02-2021,178.66
129,5035,5,01-02-2021,217.69
130,5037,5,01-02-2021,250.98
131,5039,5,01-02-2021,3.73
132,5041,5,01-02-2021,15.53
133,5043,5,01-02-2021,120.29
134,5045,5,01-02-2021,1170.69
135,5047,5,01-02-2021,39.49
136,5049,5,01-02-2021,13.28
